year,month,Average Emission
2005,Jan.,378.37
2005,Feb.,379.1
2005,Mar.,379.45
2005,Apr.,379.84
2005,May.,379.49
2005,Jun.,380.07
2005,Jul.,380.38
2005,Aug.,380.61
2005,Sep.,380.2
2005,Oct.,380.5
2005,Nov.,380.69
2005,Dec.,381.09
2006,Jan.,381.33
2006,Feb.,381.58
2006,Mar.,381.32
2006,Apr.,382.11
2006,May.,382.06
2006,Jun.,381.93
2006,Jul.,382.1
2006,Aug.,382.27
2006,Sep.,382.35
2006,Oct.,382.66
2006,Nov.,382.52
2006,Dec.,382.84
2007,Jan.,382.88
2007,Feb.,383.22
2007,Mar.,383.17
2007,Apr.,383.95
2007,May.,383.56
2007,Jun.,384.06
2007,Jul.,384.25
2007,Aug.,383.95
2007,Sep.,384.56
2007,Oct.,384.72
2007,Nov.,384.9
2007,Dec.,385.07
2008,Jan.,385.54
2008,Feb.,385.2
2008,Mar.,384.72
2008,Apr.,384.71
2008,May.,385.69
2008,Jun.,385.68
2008,Jul.,386.04
2008,Aug.,385.98
2008,Sep.,386.68
2008,Oct.,386.49
2008,Nov.,386.59
2008,Dec.,386.64
2009,Jan.,386.86
2009,Feb.,386.81
2009,Mar.,387.54
2009,Apr.,387.15
2009,May.,387.24
2009,Jun.,387.46
2009,Jul.,387.77
2009,Aug.,387.99
2009,Sep.,388.22
2009,Oct.,387.88
2009,Nov.,388.36
2009,Dec.,388.44
2010,Jan.,388.62
2010,Feb.,389.47
2010,Mar.,389.85
2010,Apr.,390.12
2010,May.,390.09
2010,Jun.,390.1
2010,Jul.,389.93
2010,Aug.,390.21
2010,Sep.,390.32
2010,Oct.,390.72
2010,Nov.,390.99
2010,Dec.,390.8
2011,Jan.,391.2
2011,Feb.,391.12
2011,Mar.,391.28
2011,Apr.,390.84
2011,May.,391.24
2011,Jun.,391.65
2011,Jul.,392.24
2011,Aug.,392.03
2011,Sep.,392.6
2011,Oct.,392.52
2011,Nov.,392.63
2011,Dec.,392.86
2012,Jan.,393.08
2012,Feb.,393.21
2012,Mar.,393
2012,Apr.,393.65
2012,May.,393.73
2012,Jun.,393.64
2012,Jul.,394.12
2012,Aug.,394.36
2012,Sep.,394.74
2012,Oct.,394.63
2012,Nov.,395.24
2012,Dec.,395.27
2013,Jan.,395.63
2013,Feb.,396.24
2013,Mar.,396.08
2013,Apr.,395.8
2013,May.,396.65
2013,Jun.,396.48
2013,Jul.,397.12
2013,Aug.,397.26
2013,Sep.,397.24
2013,Oct.,397.24
2013,Nov.,397.34
2013,Dec.,397.78
2014,Jan.,397.74
2014,Feb.,397.46
2014,Mar.,398.38
2014,Apr.,398.64
2014,May.,398.57
2014,Jun.,399.11
2014,Jul.,398.95
2014,Aug.,399.2
2014,Sep.,399.2
2014,Oct.,399.69
2014,Nov.,399.62
2014,Dec.,399.88
2015,Jan.,399.92
2015,Feb.,399.78
2015,Mar.,400.23
2015,Apr.,400.47
2015,May.,400.71
2015,Jun.,400.66
2015,Jul.,401.1
2015,Aug.,401.03
2015,Sep.,401.43
2015,Oct.,401.88
2015,Nov.,402.22
2015,Dec.,402.72
2016,Jan.,402.46
2016,Feb.,403.41
2016,Mar.,403.55
2016,Apr.,404.78
2016,May.,404.42
2016,Jun.,404.59
2016,Jul.,404.23
2016,Aug.,404.4
2016,Sep.,404.85
2016,Oct.,405.22
2016,Nov.,405.73
2016,Dec.,405.33
2017,Jan.,406.05
2017,Feb.,405.82
2017,Mar.,406.06
2017,Apr.,406.38
2017,May.,406.38
2017,Jun.,406.69
2017,Jul.,407
2017,Aug.,407.29
2017,Sep.,407.16
2017,Oct.,407.21
2017,Nov.,407.34
2017,Dec.,407.71
2018,Jan.,407.82
2018,Feb.,407.61
2018,Mar.,408.06
2018,Apr.,407.65
2018,May.,407.98
2018,Jun.,408.6
2018,Jul.,408.59
2018,Aug.,409.17
2018,Sep.,409.31
2018,Oct.,409.56
2018,Nov.,410.24
2018,Dec.,409.99
2019,Jan.,410.73
2019,Feb.,411.07
2019,Mar.,410.62
2019,Apr.,410.7
2019,May.,411.4
2019,Jun.,411.76
2019,Jul.,411.63
2019,Aug.,412.2
2019,Sep.,412.37
2019,Oct.,412.13
2019,Nov.,412.53
2019,Dec.,412.73
2020,Jan.,413.3
2020,Feb.,413.45
2020,Mar.,413.18
2020,Apr.,413.6
2020,May.,413.85
2020,Jun.,414.2
2020,Jul.,414.28
2020,Aug.,414.8
2020,Sep.,415.13
2020,Oct.,414.88
2020,Nov.,415.18
2020,Dec.,415
2021,Jan.,415.21
2021,Feb.,415.86
2021,Mar.,416.08
2021,Apr.,416.2
2021,May.,415.66
2021,Jun.,416.54
2021,Jul.,416.62
2021,Aug.,416.49
2021,Sep.,416.9
2021,Oct.,417.31
2021,Nov.,417.07
2021,Dec.,417.45
